id,structure,informativity,on-topic,correctness,category
2,0,4,4,4,4,1,closed_qa
23,0,4,4,4,4,1,closed_qa
25,0,4,4,4,4,1,summarization
48,0,4,4,4,4,1,closed_qa
62,0,4,4,4,4,closed_qa
83,4,2,4,3,3,brainstorming
127,0,4,4,4,4,summarization
131,0,3,4,4,3,summarization
222,0,3,4,4,3,0,summarization
229,0,4,4,4,4,1,closed_qa
248,0,4,4,4,4,closed_qa
290,0,3,4,1,4,brainstorming
340,4,4,4,4,4,1,brainstorming
355,0,3,3,4,3,closed_qa
463,4,4,4,4,4,0,summarization
470,4,3,4,4,4,0,brainstorming
554,0,4,4,4,4,summarization
586,0,4,4,4,4,1,closed_qa
662,0,4,4,4,4,0,closed_qa
684,0,4,4,4,4,2,brainstorming
685,4,4,4,4,4,brainstorming
706,0,3,4,4,3,2,summarization
731,0,4,4,4,4,1,closed_qa
801,0,4,4,4,4,1,summarization
833,0,4,4,4,4,0,summarization
870,0,4,4,0,4,brainstorming
902,4,4,4,4,4,0,summarization
953,0,2,3,1,1,2,closed_qa
1007,0,4,4,4,4,1,closed_qa
1012,0,4,4,4,4,0,brainstorming
1029,0,3,4,4,3,0,summarization
1037,0,4,4,4,4,1,closed_qa
1048,0,4,4,4,4,closed_qa
1055,0,3,4,4,4,0,brainstorming
1062,4,3,4,3,3,2,summarization
1080,4,4,4,0,4,2,brainstorming
1108,0,4,4,4,4,summarization
1150,0,3,4,0,4,brainstorming
1157,0,4,4,4,4,0,summarization
1198,0,1,1,1,1,0,brainstorming
1242,0,3,3,3,3,closed_qa
1244,4,4,4,4,4,0,brainstorming
1262,0,3,4,3,3,closed_qa
1323,4,2,3,3,4,brainstorming
1337,0,4,4,4,4,0,summarization
1345,4,3,4,0,4,2,brainstorming
1434,0,4,4,4,4,1,closed_qa
1455,0,4,4,4,4,1,closed_qa
1456,0,1,1,1,3,summarization
1492,4,3,4,0,3,0,brainstorming
1497,4,4,4,2,2,1,brainstorming
1514,0,4,4,4,4,0,closed_qa
1579,4,2,3,3,4,brainstorming
1580,0,2,4,4,3,2,summarization
1598,0,3,3,1,1,brainstorming
1601,4,2,4,3,3,0,summarization
1658,0,4,4,4,4,1,closed_qa
1669,0,1,1,1,3,closed_qa
1689,0,4,4,4,4,2,closed_qa
1714,0,4,4,4,4,1,summarization
1767,0,4,4,4,4,1,closed_qa
1834,4,4,4,0,4,2,brainstorming
1917,0,4,4,4,4,2,brainstorming
1954,0,3,3,3,3,summarization
1973,0,2,4,3,3,0,summarization
1996,0,2,2,2,2,2,brainstorming
2027,0,4,4,4,4,0,brainstorming
2063,0,4,4,4,4,1,closed_qa
2115,0,4,4,4,4,2,summarization
2215,0,4,4,4,4,1,closed_qa
2218,0,3,3,3,4,summarization
2222,0,4,4,4,4,0,summarization
2240,0,3,4,4,2,0,summarization
2321,4,3,3,1,1,brainstorming
2333,0,4,4,0,4,0,brainstorming
2334,0,4,4,4,4,summarization
